date,confirmed
2020-01-22,547
2020-01-23,639
2020-01-24,916
2020-01-25,1399
2020-01-26,2062
2020-01-27,2863
2020-01-28,5494
2020-01-29,6070
2020-01-30,8124
2020-01-31,9783
2020-02-01,11871
2020-02-02,16607
2020-02-03,19693
2020-02-04,23680
2020-02-05,27409
2020-02-06,30553
2020-02-07,34075
2020-02-08,36778
2020-02-09,39790
2020-02-10,42306
2020-02-11,44327
2020-02-12,44699
2020-02-13,59832
2020-02-14,66292
2020-02-15,68347
2020-02-16,70446
2020-02-17,72364
2020-02-18,74139
2020-02-19,74546
2020-02-20,74999
2020-02-21,75472
2020-02-22,76922
2020-02-23,76938
2020-02-24,77152
2020-02-25,77660
2020-02-26,78065
2020-02-27,78498
2020-02-28,78824
2020-02-29,79251
2020-03-01,79826
2020-03-02,80026
2020-03-03,80151
2020-03-04,80271
2020-03-05,80422
2020-03-06,80573
2020-03-07,80652
2020-03-08,80699
2020-03-09,80735
2020-03-10,80757